23,24,25,26,27,28,29,30,31,1,2
GEORGIA,,TX,GA,OK,AZ,NY,FLORIDA,FL,CA,IA
WI,MN,UTAH,NV,SC,OK,IL,OK,FLORIDA,DE,IN
AZ,NJ,CA,SC,OK,OK,TX,COLORADO,MI,VIRGINIA,SC
MICHIGAN,FL,OR,NV,TX,TEXAS,IN,TEXAS,ALABAMA,CA,GA
NC,KENTUCKY,NY,NC,SC,FL,IN,OHIO,TN,DE,CA
NV,ME,MO,TX,CA,OHIO,MN,MI,ARKANSAS,DE,AZ
OK,OHIO,NC,DE,CA,NEVADA,TX,IL,CA,NY,CA
FL,PA,FL,ARIZONA,CALIFORNIA,CA,GA,UTAH,NV,NY,KENTUCKY
IN,OR,OK,IL,TEXAS,SC,NY,IL,NY,NY,CO
KY,CA,OHIO,CA,MO,MO,IN,NV,NY,CA,NY
OH,IL,OHIO,WASHINGTON,CA,KANSAS,FLORIDA,MISSOURI,NEVADA,NY,AZ
INDIANA,IL,OHIO,CA,TEXAS,FL,NY,FLORIDA,SC,NY,TEXAS
NY,TX,WASHINGTON,CA,TEXAS,NY,MARYLAND,NJ,FL,NY,KENTUCKY
NY,CA,NEVADA,ME,IOWA,CA,AZ,FL,NY,NY,AZ
ARKANSAS,ARIZONA,OK,NV,FLORIDA,AZ,FL,NC,DE,NY,MI
CA,DE,NY,OHIO,NY,FL,FL,FL,DE,NY,CA
FL,SC,NY,IA,FL,NY,IL,MI,NY,NY,KENTUCKY
IN,MO,LOUISIANA,CA,IL,NY,CA,GA,DE,MISSOURI,KENTUCKY
KY,VA,INDIANA,VIRGINIA,OHIO,MO,DE,IN,DE,CALIFORNIA,KENTUCKY
CA,NC,NY,TEXAS,OH,INDIANA,MI,NV,DE,NY,FLORIDA
OHIO,MI,NY,TN,TX,NY,INDIANA,NV,DE,NY,KENTUCKY
FLORIDA,CA,NJ,ARIZONA,KENTUCKY,FLORIDA,OHIO,LA,NY,NY,KENTUCKY
NC,IL,PA,MT,CA,INDIANA,TEXAS,CALIFORNIA,INDIANA,NY,CA
FL,VERMONT,NY,NC,CA,NY,TX,IN,CA,NY,CALIFORNIA
IN,ALABAMA,CA,VA,FL,NY,IN,WV,CA,NY,FL
NY,SC,NEBRASKA,TN,OHIO,CALIFORNIA,FL,GEORGIA,TN,NY,INDIANA
TEXAS,AZ,NY,MINNESOTA,FLORIDA,NY,FL,TEXAS,OK,OK,WV
FLORIDA,TEXAS,CALIFORNIA,MO,NY,TEXAS,FL,UTAH,OKLAHOMA,TX,CA
MISSOURI,VA,TENNESSEE,FLORIDA,FL,NY,IN,TX,MI,CA,DE
ARKANSAS,CA,AZ,MN,WISCONSIN,WV,NY,IN,NEBRASKA,FLORIDA,VIRGINIA
KENTUCKY,VA,CA,MN,CALIFORNIA,TN,ALABAMA,IN,NY,CA,CA
NY,FL,CA,ARIZONA,ALABAMA,FLORIDA,AZ,NY,FL,CALIFORNIA,DE
TX,WV,OHIO,LA,GEORGIA,FL,VIRGINIA,FLORIDA,MICHIGAN,MI,DE
HAWAII,ARKANSAS,CA,ARKANSAS,GEORGIA,FL,CALIFORNIA,FLORIDA,WASHINGTON,FLORIDA,NY
MI,MONTANA,WV,NY,CA,FL,NC,SD,WASHINGTON,TEXAS,NY
MONTANA,CA,OREGON,TEXAS,TX,FL,OHIO,OREGON,MICHIGAN,INDIANA,NY
NY,VA,CALIFORNIA,CA,VA,FL,FL,MI,NC,TEXAS,CA
CA,TN,MI,CT,CALIFORNIA,FL,FLORIDA,IN,MI,NV,NY
TN,VIRGINIA,WASHINGTON,OHIO,GEORGIA,FL,NY,CALIFORNIA,NV,NV,NY
IL,ARIZONA,NY,NY,OH,CA,GEORGIA,CALIFORNIA,KY,IL,NY
OK,NY,VIRGINIA,TX,CALIFORNIA,GEORGIA,FL,OK,CALIFORNIA,IL,NY
,IN,CA,OH,ARKANSAS,FL,FLORIDA,CA,CALIFORNIA,WA,NY
,MO,HI,OH,ALABAMA,TEXAS,INDIANA,PENNSYLVANIA,NV,CA,NY
,FLORIDA,WISCONSIN,IN,OR,FL,MO,MONTANA,CALIFORNIA,OH,NY
,VA,NY,OHIO,MINNESOTA,FL,MO,OK,CALIFORNIA,TEXAS,MISSOURI
,MICHIGAN,NY,AL,NV,FL,GA,PA,NY,ALABAMA,CALIFORNIA
,VA,PENNSYLVANIA,NV,TEXAS,NY,OK,PA,FLORIDA,NC,NY
,TX,WV,AL,NV,FL,OHIO,CA,NJ,VA,NY
,MO,FLORIDA,OHIO,NEVADA,FL,CALIFORNIA,FL,TN,PA,NY
,MO,MICHIGAN,IN,UT,NY,OK,NY,FLORIDA,FL,NY
,CA,IN,TN,MINNESOTA,FL,FL,CA,NY,FL,NY
,IN,DE,FLORIDA,FL,NY,OK,NY,NV,TEXAS,NY
,IL,NY,FLORIDA,MINNESOTA,FLORIDA,OK,PA,IL,MI,NY
,OK,FLORIDA,OK,ARIZONA,FLORIDA,CA,TX,CA,CA,OK
,VA,NY,CO,NY,FL,OK,WISCONSIN,CA,NC,TX
,NV,NY,TN,MO,FL,OK,MASSACHUSETTS,FL,NY,CA
,NV,NY,VA,NC,NV,FLORIDA,PA,OH,TX,FLORIDA
,TX,NY,TEXAS,CA,MO,UTAH,TX,IN,WYOMING,CA
,CA,FL,TEXAS,NC,FL,CA,WISCONSIN,OHIO,TEXAS,CALIFORNIA
,IN,FLORIDA,OK,TX,NV,OREGON,MA,CA,TEXAS,MI
,CA,TEXAS,CALIFORNIA,VIRGINIA,FL,CA,MISSISSIPPI,PENNSYLVANIA,NY,FLORIDA
,AZ,NC,WA,TX,NV,FL,OH,PENNSYLVANIA,MICHIGAN,TEXAS
,NY,DE,TENNESSEE,CALIFORNIA,TX,OK,IN,PENNSYLVANIA,VA,INDIANA
,TEXAS,MA,CALIFORNIA,NY,FL,FL,CA,IN,TX,TEXAS
,INDIANA,DE,MA,INDIANA,NV,TEXAS,CA,AZ,CA,NV
,TX,TX,RI,KY,NV,NC,CA,PENNSYLVANIA,DE,NV
,OK,IN,TEXAS,VA,IOWA,MO,TX,OK,CA,IL
,INDIANA,MICHIGAN,FL,OHIO,NV,GEORGIA,,AZ,CALIFORNIA,IL
,INDIANA,ARKANSAS,NC,TX,FL,TX,,GA,DE,WA
,CA,MINNESOTA,NJ,FL,NV,MO,,IL,DE,CA
,ARIZONA,IOWA,SC,NY,FL,MO,,CT,DE,OH
,NY,WI,CA,IN,NV,OK,,OK,OHIO,TEXAS
,CALIFORNIA,SC,HAWAII,TX,NC,CALIFORNIA,,MI,KS,ALABAMA
,TX,NY,NY,WASHINGTON,FL,TX,,CA,KANSAS,NC
,IL,TEXAS,,NJ,FL,SC,,NV,NY,VA
,IN,OK,,TX,FL,CALIFORNIA,,TEXAS,IN,PA
,OK,OKLAHOMA,,TX,NV,TENNESSEE,,TEXAS,IN,FL
,MI,MISSOURI,,IN,FL,MO,,TN,INDIANA,FL
,CA,MA,,TX,UTAH,GEORGIA,,MISSOURI,NV,TEXAS
,NV,MISSOURI,,TEXAS,FL,UT,,IN,DE,MI
,FL,ALASKA,,FLORIDA,FL,IN,,MO,MASSACHUSETTS,CA
,IN,INDIANA,,TEXAS,NY,NY,,CA,SC,NC
,KY,NV,,CALIFORNIA,CT,TEXAS,,,SC,NY
,OH,DE,,NV,TN,TEXAS,,,SC,TX
,TEXAS,NV,,NV,FL,WASHINGTON,,,LA,WYOMING
,NV,TX,,NY,IN,NY,,,GEORGIA,TEXAS
,TEXAS,NV,,NY,TN,PA,,,FL,TEXAS
,CA,CA,,NY,FL,NY,,,VERMONT,NY
,FL,AZ,,NY,TN,MO,,,TN,MICHIGAN
,OR,AZ,,NV,FL,LA,,,FLORIDA,VA
,TN,OREGON,,MI,FL,UTAH,,,INDIANA,TX
,CA,TX,,TEXAS,SC,NY,,,NY,DE
,,MO,,NV,TEXAS,FL,,,,CA
,,KANSAS,,OK,FL,ARKANSAS,,,,CALIFORNIA
,,FL,,IA,TEXAS,INDIANA,,,,DE
,,PA,,NV,FL,IN,,,,DE
,,LOUISIANA,,NV,FL,ME,,,,DE
,,ARIZONA,,NV,FLORIDA,CA,,,,OHIO
,,AZ,,NY,FLORIDA,AZ,,,,KS
,,CA,,TEXAS,FL,FL,,,,KANSAS
,,NJ,,NV,IL,MI,,,,NY
,,MO,,NV,FL,PA,,,,IN
,,MO,,NV,TX,FL,,,,IN
,,TEXAS,,CA,FL,WASHINGTON,,,,INDIANA
,,NJ,,NV,FL,TN,,,,NV
,,MINNESOTA,,TEXAS,FL,FL,,,,DE
,,CA,,CA,FL,FL,,,,MASSACHUSETTS
,,COLORADO,,AL,KENTUCKY,OK,,,,SC
,,TEXAS,,WV,KENTUCKY,TN,,,,SC
,,CALIFORNIA,,PENNSYLVANIA,OREGON,VIRGINIA,,,,SC
,,CALIFORNIA,,LOUISIANA,NJ,TEXAS,,,,LA
,,TEXAS,,AL,IA,MI,,,,GEORGIA
,,TEXAS,,NY,TX,TX,,,,FL
,,CA,,VT,AL,,,,,VERMONT
,,NY,,VERMONT,IA,,,,,TN
,,VA,,CA,IA,,,,,FLORIDA
,,FL,,TEXAS,GA,,,,,INDIANA
,,IN,,PENNSYLVANIA,TEXAS,,,,,NY
,,OR,,CA,FL,,,,,
,,CALIFORNIA,,SC,NY,,,,,
,,CA,,NY,MISSOURI,,,,,
,,CA,,VA,TX,,,,,
,,KENTUCKY,,VA,GA,,,,,
,,MA,,NV,IOWA,,,,,
,,NC,,TEXAS,PA,,,,,
,,INDIANA,,IN,ARKANSAS,,,,,
,,TEXAS,,UT,ARIZONA,,,,,
,,TX,,NY,OK,,,,,
,,MINNESOTA,,GA,OKLAHOMA,,,,,
,,GA,,IN,FL,,,,,
,,,,KANSAS,VA,,,,,
,,,,CA,VA,,,,,
,,,,CA,DE,,,,,
,,,,ARKANSAS,CA,,,,,
,,,,IN,LA,,,,,
,,,,AK,CALIFORNIA,,,,,
,,,,UT,OK,,,,,
,,,,KS,FLORIDA,,,,,
,,,,CALIFORNIA,TX,,,,,
,,,,ARIZONA,OREGON,,,,,
,,,,ARIZONA,GEORGIA,,,,,
,,,,ARIZONA,OREGON,,,,,
,,,,ARIZONA,MINNESOTA,,,,,
,,,,WV,ARIZONA,,,,,
,,,,FLORIDA,CA,,,,,
,,,,SC,TX,,,,,
,,,,WV,OK,,,,,
,,,,FL,OK,,,,,
,,,,SC,OK,,,,,
,,,,SC,OK,,,,,
,,,,NY,OK,,,,,
,,,,WV,NY,,,,,
,,,,FL,FL,,,,,
,,,,WA,IA,,,,,
,,,,SC,OK,,,,,
,,,,FL,FL,,,,,
,,,,SC,TEXAS,,,,,
,,,,MO,OH,,,,,
,,,,TX,OKLAHOMA,,,,,
,,,,MO,FL,,,,,
,,,,FL,NV,,,,,
,,,,IN,TX,,,,,
,,,,GA,OK,,,,,
,,,,OHIO,WYOMING,,,,,
,,,,SC,NY,,,,,
,,,,ARKANSAS,IN,,,,,
,,,,SC,CA,,,,,
,,,,NJ,FL,,,,,
,,,,SC,IA,,,,,
,,,,VA,TX,,,,,
,,,,VIRGINIA,COLORADO,,,,,
,,,,OHIO,TN,,,,,
,,,,,TN,,,,,
,,,,,GEORGIA,,,,,
,,,,,CA,,,,,
,,,,,VA,,,,,
,,,,,TEXAS,,,,,
,,,,,TN,,,,,
,,,,,IA,,,,,
,,,,,KY,,,,,
,,,,,NY,,,,,
,,,,,IA,,,,,
,,,,,IOWA,,,,,
,,,,,IA,,,,,
,,,,,IOWA,,,,,
,,,,,CA,,,,,
,,,,,VA,,,,,
,,,,,NV,,,,,
,,,,,AZ,,,,,
,,,,,IL,,,,,
,,,,,IL,,,,,
,,,,,IL,,,,,
,,,,,FLORIDA,,,,,
,,,,,LOUISIANA,,,,,
,,,,,CA,,,,,
,,,,,CA,,,,,
,,,,,NV,,,,,
,,,,,WY,,,,,
,,,,,TN,,,,,
,,,,,OKLAHOMA,,,,,
,,,,,SC,,,,,
,,,,,NY,,,,,
,,,,,WV,,,,,
,,,,,NC,,,,,
